0.015708 0.116802 -1.16487  0.159541 -0.819608  
0.0471239 0.0868823 -1.39787  0.200537 -0.651686  
0.0785398 0.0505357 -1.70365  0.227557 -0.494872  
0.109956 0.0172457 -1.89066  0.240302 -0.406589  
0.141372 0.000176637 -1.99563  0.245289 -0.348071  
0.172788 -0.00828094 -2.07418  0.247488 -0.298293  
0.204204 -0.0136165 -2.11623  0.248844 -0.257854  
0.235619 -0.0183534 -2.11762  0.25014 -0.226635  
0.267035 -0.0228341 -2.08574  0.251535 -0.202893  
0.298451 -0.0264649 -2.03179  0.252928 -0.18462  
0.329867 -0.0285868 -1.96576  0.254136 -0.170115  
0.361283 -0.0288561 -1.89481  0.254984 -0.158105  
0.392699 -0.0272979 -1.82339  0.255353 -0.147703  
0.424115 -0.0242144 -1.75394  0.255197 -0.138335  
0.455531 -0.0200573 -1.68757  0.25454 -0.129662  
0.486947 -0.0153181 -1.62464  0.25346 -0.121505  
0.518363 -0.0104517 -1.56508  0.25207 -0.113797  
0.549779 -0.00583417 -1.50866  0.250502 -0.106533  
0.581195 -0.00174463 -1.45512  0.248889 -0.099743  
0.612611 0.00163434 -1.40418  0.247352 -0.0934662  
0.644026 0.00420667 -1.35565  0.246 -0.0877404  
0.675442 0.00594775 -1.30934  0.244919 -0.0825915  
0.706858 0.00688791 -1.26514  0.244178 -0.0780302  
0.738274 0.00709671 -1.22294  0.243822 -0.07405  
0.76969 0.006669 -1.18269  0.243878 -0.0706285  
0.801106 0.00571349 -1.1443  0.244356 -0.0677292  
0.832522 0.00434364 -1.10775  0.245248 -0.0653037  
0.863938 0.0026709 -1.07296  0.246531 -0.0632953  
0.895354 0.000799856 -1.03991  0.24817 -0.0616417  
0.92677 -0.00117488 -1.00852  0.25012 -0.0602782  
0.958186 -0.00317056 -0.978736  0.252326 -0.0591399  
0.989602 -0.00511709 -0.950503  0.254728 -0.0581647  
1.02102 -0.00695707 -0.923749  0.257261 -0.0572945  
1.05243 -0.00864534 -0.898405  0.259861 -0.0564769  
1.08385 -0.0101481 -0.874399  0.262461 -0.0556663  
1.11527 -0.0114419 -0.851658  0.264998 -0.0548239  
1.14668 -0.0125121 -0.830107  0.267414 -0.0539187  
1.1781 -0.0133523 -0.809674  0.269655 -0.0529263  
1.20951 -0.0139624 -0.790288  0.271672 -0.0518298  
1.24093 -0.0143479 -0.771879  0.273425 -0.0506181  
1.27235 -0.0145184 -0.75438  0.274881 -0.0492861  
1.30376 -0.0144873 -0.737727  0.276013 -0.0478337  
1.33518 -0.0142701 -0.72186  0.276802 -0.0462649  
1.36659 -0.0138842 -0.70672  0.277238 -0.0445877  
1.39801 -0.0133481 -0.692255  0.277315 -0.0428126  
1.42942 -0.0126807 -0.678414  0.277034 -0.0409529  
1.46084 -0.0119011 -0.665151  0.276402 -0.0390234  
1.49226 -0.0110279 -0.652422  0.275429 -0.0370405  
1.52367 -0.0100792 -0.640188  0.274132 -0.0350213  
1.55509 -0.00907212 -0.628413  0.27253 -0.0329835  
1.5865 -0.00802274 -0.617064  0.270643 -0.0309449  
1.61792 -0.00694603 -0.60611  0.268497 -0.0289234  
1.64934 -0.00585565 -0.595525  0.266115 -0.0269364  
1.68075 -0.00476398 -0.585283  0.263525 -0.0250007  
1.71217 -0.00368206 -0.575362  0.260754 -0.0231326  
1.74358 -0.00261965 -0.565743  0.257828 -0.0213472  
1.775 -0.00158521 -0.556406  0.254775 -0.0196589  
1.80642 -0.000585981 -0.547335  0.251622 -0.0180806  
1.83783 0.000371957 -0.538517  0.248393 -0.0166241  
1.86925 0.00128364 -0.529937  0.245115 -0.0153  
1.90066 0.00214514 -0.521585  0.241811 -0.0141173  
1.93208 0.00295346 -0.51345  0.238502 -0.0130837  
1.9635 0.0037065 -0.505522  0.23521 -0.0122053  
1.99491 0.00440293 -0.497793  0.231955 -0.0114868  
2.02633 0.00504216 -0.490255  0.228753 -0.0109313  
2.05774 0.00562422 -0.482903  0.225622 -0.0105405  
2.08916 0.00614971 -0.475729  0.222576 -0.0103145  
2.12058 0.00661972 -0.468727  0.219628 -0.010252  
2.15199 0.00703576 -0.461894  0.216788 -0.0103503  
2.18341 0.00739971 -0.455225  0.214066 -0.0106052  
2.21482 0.00771376 -0.448715  0.211471 -0.0110113  
2.24624 0.00798033 -0.44236  0.209008 -0.0115618  
2.27765 0.00820205 -0.436157  0.206682 -0.0122489  
2.30907 0.00838171 -0.430102  0.204496 -0.0130635  
2.34049 0.00852218 -0.424192  0.202451 -0.0139957  
2.3719 0.00862645 -0.418425  0.200548 -0.0150345  
2.40332 0.0086975 -0.412797  0.198785 -0.0161681  
2.43473 0.00873835 -0.407305  0.19716 -0.0173841  
2.46615 0.00875199 -0.401947  0.195668 -0.0186691  
2.49757 0.00874138 -0.39672  0.194304 -0.0200096  
2.52898 0.00870942 -0.391622  0.193062 -0.0213914  
2.5604 0.0086589 -0.38665  0.191935 -0.0228  
2.59181 0.00859255 -0.381801  0.190915 -0.0242207  
2.62323 0.008513 -0.377073  0.189992 -0.0256387  
2.65465 0.00842273 -0.372464  0.189156 -0.0270389  
2.68606 0.00832413 -0.367972  0.188396 -0.0284066  
2.71748 0.00821944 -0.363592  0.187702 -0.0297269  
2.74889 0.00811079 -0.359324  0.187061 -0.0309854  
2.78031 0.00800014 -0.355165  0.186462 -0.0321676  
2.81173 0.00788935 -0.351112  0.185892 -0.0332597  
2.84314 0.00778011 -0.347164  0.185337 -0.0342482  
2.87456 0.00767399 -0.343316  0.184786 -0.0351198  
2.90597 0.00757241 -0.339568  0.184224 -0.0358622  
2.93739 0.00747668 -0.335917  0.18364 -0.0364632  
2.96881 0.00738796 -0.33236  0.183021 -0.0369114  
3.00022 0.00730729 -0.328895  0.182353 -0.0371962  
3.03164 0.00723558 -0.32552  0.181624 -0.0373073  
3.06305 0.00717362 -0.322231  0.180823 -0.0372354  
3.09447 0.00712211 -0.319028  0.179938 -0.0369717  
3.12588 0.00708161 -0.315907  0.178957 -0.0365082  
3.1573 0.00705259 -0.312866  0.177871 -0.0358375  
