0.015708 0.0902719 -0.226863  -1.03406 -3.78228  
0.0471239 -0.0199488 -0.259867  0.77908 -3.77118  
0.0785398 -0.0339646 -0.31178  0.833145 -3.0841  
0.109956 -0.0265045 -0.496692  0.59656 -1.89067  
0.141372 -0.0741678 -0.486526  0.796826 -1.86051  
0.172788 -0.0569693 -0.56791  0.666424 -1.56383  
0.204204 -0.0331508 -0.676002  0.564687 -1.26499  
0.235619 -0.0259232 -0.754475  0.538456 -1.08185  
0.267035 -0.0286023 -0.797889  0.538401 -0.97841  
0.298451 -0.0305079 -0.820946  0.539228 -0.91186  
0.329867 -0.0263931 -0.837949  0.532009 -0.856361  
0.361283 -0.0162542 -0.856672  0.516986 -0.799759  
0.392699 -0.00270984 -0.87904  0.498702 -0.739181  
0.424115 0.0111649 -0.903563  0.481836 -0.676861  
0.455531 0.0229854 -0.92748  0.469092 -0.616539  
0.486947 0.0314146 -0.948109  0.461147 -0.561291  
0.518363 0.0360787 -0.963494  0.457484 -0.512857  
0.549779 0.0373047 -0.972585  0.457134 -0.471799  
0.581195 0.0358292 -0.97516  0.459087 -0.437909  
0.612611 0.0325549 -0.971633  0.462455 -0.410555  
0.644026 0.028375 -0.962839  0.46649 -0.3889  
0.675442 0.0240633 -0.949841  0.470574 -0.372026  
0.706858 0.0202197 -0.933777  0.474198 -0.358998  
0.738274 0.017254 -0.915742  0.476945 -0.348885  
0.76969 0.0153958 -0.896725  0.478499 -0.340783  
0.801106 0.0147186 -0.877559  0.478651 -0.333823  
0.832522 0.0151711 -0.858911  0.47731 -0.327195  
0.863938 0.0166099 -0.841278  0.474511 -0.320168  
0.895354 0.01883 -0.825001  0.470415 -0.312121  
0.92677 0.0215916 -0.810281  0.465294 -0.302562  
0.958186 0.0246423 -0.797203  0.459504 -0.291151  
0.989602 0.0277342 -0.785753  0.453456 -0.277705  
1.02102 0.0306372 -0.775844  0.447576 -0.262193  
1.05243 0.0331474 -0.767337  0.442273 -0.24472  
1.08385 0.0350928 -0.760049  0.437911 -0.225498  
1.11527 0.0363361 -0.75378  0.434789 -0.204815  
1.14668 0.0367751 -0.748316  0.433135 -0.183008  
1.1781 0.0363418 -0.743443  0.433109 -0.160428  
1.20951 0.0349999 -0.738954  0.434804 -0.137424  
1.24093 0.0327422 -0.734653  0.43826 -0.114321  
1.27235 0.0295868 -0.730363  0.443477 -0.0914141  
1.30376 0.0255736 -0.725924  0.450426 -0.0689613  
1.33518 0.0207605 -0.7212  0.459056 -0.0471832  
1.36659 0.0152196 -0.716074  0.469308 -0.0262644  
1.39801 0.00903406 -0.71045  0.481118 -0.00635691  
1.42942 0.00229496 -0.704256  0.494422 0.0124153  
1.46084 -0.00490185 -0.697435  0.50916 0.0299518  
1.49226 -0.012458 -0.689952  0.525276 0.0461714  
1.52367 -0.020275 -0.681787  0.542724 0.0610076  
1.55509 -0.0282557 -0.672935  0.56146 0.0744052  
1.5865 -0.0363063 -0.663405  0.581449 0.0863164  
1.61792 -0.0443374 -0.653217  0.602661 0.0966983  
1.64934 -0.0522649 -0.642399  0.625068 0.10551  
1.68075 -0.0600108 -0.630991  0.64865 0.112711  
1.71217 -0.0675041 -0.619035  0.673386 0.118259  
1.74358 -0.0746803 -0.606583  0.699258 0.122107  
1.775 -0.0814825 -0.593687  0.726247 0.124204  
1.80642 -0.087861 -0.580405  0.754335 0.124492  
1.83783 -0.0937731 -0.566793  0.7835 0.122905  
1.86925 -0.0991832 -0.552912  0.813719 0.11937  
1.90066 -0.104063 -0.538819  0.844962 0.113801  
1.93208 -0.108389 -0.524573  0.877193 0.106103  
1.9635 -0.112146 -0.510232  0.910371 0.0961699  
1.99491 -0.115323 -0.49585  0.944443 0.0838814  
2.02633 -0.117916 -0.481479  0.979346 0.0691046  
2.05774 -0.119923 -0.467171  1.015 0.0516924  
2.08916 -0.121349 -0.452973  1.05132 0.0314832  
2.12058 -0.122203 -0.43893  1.08819 0.00830084  
2.15199 -0.122496 -0.425082  1.12547 -0.0180456  
2.18341 -0.122242 -0.411467  1.16301 -0.0477612  
2.21482 -0.121461 -0.398122  1.20062 -0.0810644  
2.24624 -0.120172 -0.385076  1.23807 -0.118185  
2.27765 -0.118397 -0.372359  1.2751 -0.159364  
2.30907 -0.116161 -0.359995  1.3114 -0.204846  
2.34049 -0.113489 -0.348006  1.34661 -0.254879  
2.3719 -0.110407 -0.336411  1.38031 -0.309705  
2.40332 -0.106942 -0.325227  1.41203 -0.369555  
2.43473 -0.103123 -0.314465  1.4412 -0.434634  
2.46615 -0.0989777 -0.304138  1.4672 -0.505115  
2.49757 -0.0945339 -0.294252  1.48931 -0.581118  
2.52898 -0.08982 -0.284813  1.50676 -0.662692  
2.5604 -0.0848639 -0.275825  1.51867 -0.749796  
2.59181 -0.0796931 -0.267289  1.52408 -0.842271  
2.62323 -0.0743347 -0.259204  1.52199 -0.939818  
2.65465 -0.068815 -0.251568  1.51134 -1.04196  
2.68606 -0.0631595 -0.244378  1.49105 -1.14804  
2.71748 -0.057393 -0.237628  1.46007 -1.25715  
2.74889 -0.0515393 -0.231311  1.41741 -1.36815  
2.78031 -0.0456214 -0.225418  1.3622 -1.47968  
2.81173 -0.039661 -0.219943  1.29376 -1.5901  
2.84314 -0.0336789 -0.214873  1.21168 -1.69756  
2.87456 -0.027695 -0.210199  1.11585 -1.80006  
2.90597 -0.0217278 -0.205909  1.00655 -1.89547  
2.93739 -0.0157948 -0.201992  0.884508 -1.98166  
2.96881 -0.0099126 -0.198433  0.75086 -2.05657  
3.00022 -0.00409641 -0.195222  0.607186 -2.11837  
3.03164 0.0016395 -0.192343  0.455441 -2.16551  
3.06305 0.00728195 -0.189784  0.297879 -2.19685  
3.09447 0.0128188 -0.18753  0.136952 -2.21171  
3.12588 0.0182391 -0.185569  -0.0248188 -2.2099  
3.1573 0.0235327 -0.183886  -0.184959 -2.19177  
3.18872 0.0286904 -0.182467  -0.341161 -2.15806  
3.22013 0.0337042 -0.181298  -0.49138 -2.10996  
3.25155 0.0385668 -0.180365  -0.6339 -2.04892  
3.28296 0.0432718 -0.179656  -0.767374 -1.97662  
3.31438 0.0478138 -0.179156  -0.890834 -1.89482  
3.3458 0.052188 -0.178852  -1.00367 -1.80532  
3.37721 0.0563904 -0.178732  -1.10562 -1.70986  
3.40863 0.0604179 -0.178783  -1.19668 -1.61008  
3.44004 0.0642679 -0.178992  -1.27709 -1.50744  
3.47146 0.0679386 -0.179348  -1.34728 -1.40326  
3.50288 0.0714286 -0.179839  -1.4078 -1.29866  
3.53429 0.0747373 -0.180453  -1.45927 -1.19461  
3.56571 0.0778646 -0.18118  -1.5024 -1.09187  
3.59712 0.0808108 -0.182009  -1.53788 -0.991079  
3.62854 0.0835768 -0.18293  -1.56642 -0.892714  
3.65996 0.0861638 -0.183934  -1.5887 -0.797143  
3.69137 0.0885735 -0.18501  -1.60536 -0.704625  
3.72279 0.090808 -0.18615  -1.61701 -0.615337  
3.7542 0.0928696 -0.187345  -1.62422 -0.529381  
3.78562 0.0947612 -0.188587  -1.62749 -0.446803  
3.81704 0.0964856 -0.189868  -1.62729 -0.367602  
3.84845 0.0980461 -0.191182  -1.62405 -0.291743  
