0.0314159 0.475 -1.12467  2.46172 -0.0200851  -0.475432 -1.12531  0.538399 -0.0198286  
0.0942478 0.436496 -1.09169  2.46349 -0.0559644  -0.436987 -1.09227  0.536709 -0.0557177  
0.15708 0.397876 -1.05535  2.46632 -0.0882152  -0.398311 -1.05587  0.533886 -0.0880231  
0.219911 0.360836 -1.0175  2.46974 -0.116658  -0.360696 -1.01759  0.530346 -0.117075  
0.282743 0.325784 -0.978135  2.4732 -0.142842  -0.325956 -0.978542  0.526882 -0.142731  
0.345575 0.293669 -0.939278  2.47671 -0.165881  -0.293522 -0.939309  0.523315 -0.166152  
0.408407 0.26473 -0.901044  2.47987 -0.186627  -0.264368 -0.900879  0.520084 -0.187168  
0.471239 0.238991 -0.86379  2.48243 -0.205505  -0.238645 -0.863709  0.517484 -0.205956  
0.534071 0.216312 -0.82795  2.48433 -0.222639  -0.216059 -0.828014  0.515585 -0.222891  
0.596903 0.196445 -0.793817  2.48557 -0.23813  -0.19625 -0.793935  0.514359 -0.238305  
0.659734 0.179091 -0.761518  2.48616 -0.252127  -0.178897 -0.761579  0.513767 -0.252418  
0.722566 0.163948 -0.731064  2.48613 -0.264818  -0.16372 -0.731005  0.513787 -0.265361  
0.785398 0.150734 -0.702404  2.48548 -0.276386  -0.150464 -0.702224  0.514413 -0.277213  
0.84823 0.139194 -0.675461  2.48422 -0.286988  -0.138895 -0.675199  0.515639 -0.288037  
0.911062 0.129103 -0.650147  2.48235 -0.296747  -0.128792 -0.64986  0.517457 -0.297896  
0.973894 0.120263 -0.626371  2.4799 -0.30575  -0.119956 -0.626117  0.519846 -0.306857  
1.03673 0.1125 -0.604044  2.47688 -0.314059  -0.112206 -0.603866  0.522777 -0.31499  
1.09956 0.105665 -0.583079  2.47333 -0.321715  -0.105384 -0.583003  0.526215 -0.322369  
1.16239 0.0996266 -0.56339  2.46929 -0.328744  -0.0993534 -0.563425  0.530117 -0.329065  
1.22522 0.0942713 -0.544892  2.4648 -0.33517  -0.0939975 -0.545031  0.534437 -0.335146  
1.28805 0.0895018 -0.527505  2.45991 -0.341011  -0.089217 -0.527732  0.539132 -0.34067  
1.35088 0.0852341 -0.51115  2.45466 -0.346289  -0.0849289 -0.511442  0.544157 -0.345689  
1.41372 0.0813964 -0.495753  2.44909 -0.351025  -0.0810633 -0.496084  0.549472 -0.350248  
1.47655 0.0779272 -0.481241  2.44327 -0.355245  -0.0775617 -0.481589  0.555038 -0.354381  
1.53938 0.0747746 -0.46755  2.43723 -0.358978  -0.0743751 -0.467893  0.560819 -0.358119  
1.60221 0.0718944 -0.454617  2.43102 -0.362253  -0.0714623 -0.454937  0.566784 -0.361484  
1.66504 0.0692492 -0.442384  2.42467 -0.365104  -0.0687884 -0.442669  0.572902 -0.364496  
1.72788 0.0668077 -0.430797  2.41822 -0.367561  -0.0663238 -0.431039  0.579146 -0.36717  
1.79071 0.0645432 -0.41981  2.41171 -0.369658  -0.0640433 -0.420004  0.585492 -0.369517  
1.85354 0.0624336 -0.409375  2.40515 -0.371425  -0.0619254 -0.409523  0.591915 -0.37155  
1.91637 0.06046 -0.399454  2.39858 -0.372893  -0.0599515 -0.399558  0.598395 -0.373279  
1.9792 0.0586067 -0.390009  2.39202 -0.374088  -0.0581055 -0.390074  0.604911 -0.374713  
2.04204 0.0568605 -0.381007  2.38548 -0.375036  -0.0563735 -0.38104  0.611444 -0.375863  
2.10487 0.05521 -0.372415  2.37897 -0.37576  -0.0547433 -0.372425  0.617978 -0.376739  
2.1677 0.0536457 -0.364208  2.37252 -0.37628  -0.0532044 -0.364202  0.624495 -0.377353  
2.23053 0.0521596 -0.356359  2.36612 -0.376613  -0.0517476 -0.356346  0.630981 -0.377715  
2.29336 0.0507447 -0.348846  2.35979 -0.376773  -0.0503647 -0.348834  0.637421 -0.37784  
2.35619 0.049395 -0.341647  2.35354 -0.376775  -0.0490487 -0.341642  0.643805 -0.377738  
2.41903 0.0481053 -0.334743  2.34737 -0.376629  -0.0477933 -0.334751  0.650119 -0.377425  
2.48186 0.0468713 -0.328116  2.34128 -0.376342  -0.0465931 -0.328143  0.656354 -0.376914  
2.54469 0.0456889 -0.32175  2.33528 -0.375923  -0.0454434 -0.3218  0.6625 -0.37622  
2.60752 0.0445545 -0.315631  2.32937 -0.375377  -0.04434 -0.315706  0.668551 -0.375355  
2.67035 0.0434652 -0.309744  2.32355 -0.374709  -0.0432791 -0.309845  0.674498 -0.374335  
2.73319 0.0424181 -0.304077  2.31782 -0.373923  -0.0422576 -0.304205  0.680338 -0.373173  
2.79602 0.0414106 -0.298617  2.31219 -0.373021  -0.0412726 -0.298773  0.686064 -0.371883  
2.85885 0.0404405 -0.293355  2.30665 -0.372006  -0.0403216 -0.293536  0.691674 -0.370478  
2.92168 0.0395056 -0.288279  2.30121 -0.370881  -0.0394025 -0.288484  0.697164 -0.36897  
2.98451 0.0386041 -0.28338  2.29587 -0.369647  -0.0385132 -0.283606  0.702534 -0.36737  
3.04734 0.0377341 -0.278649  2.29062 -0.368307  -0.0376522 -0.278893  0.707781 -0.365691  
3.11018 0.0368939 -0.274077  2.28547 -0.366863  -0.0368179 -0.274337  0.712907 -0.363942  
3.17301 0.0360821 -0.269658  2.28042 -0.365316  -0.036009 -0.269929  0.717911 -0.362132  
3.23584 0.0352972 -0.265383  2.27546 -0.363671  -0.0352242 -0.265662  0.722794 -0.360271  
3.29867 0.0345378 -0.261245  2.2706 -0.361928  -0.0344625 -0.261528  0.727557 -0.358366  
3.3615 0.0338027 -0.257238  2.26584 -0.360092  -0.0337229 -0.257522  0.732204 -0.356424  
3.42434 0.0330907 -0.253357  2.26117 -0.358166  -0.0330045 -0.253637  0.736736 -0.354453  
3.48717 0.0324007 -0.249594  2.2566 -0.356152  -0.0323066 -0.249867  0.741155 -0.352457  
3.55 0.0317316 -0.245944  2.25213 -0.354056  -0.0316284 -0.246207  0.745465 -0.350441  
3.61283 0.0310825 -0.242403  2.24775 -0.351882  -0.0309692 -0.242652  0.749669 -0.34841  
3.67566 0.0304525 -0.238965  2.24346 -0.349633  -0.0303284 -0.239199  0.753771 -0.346367  
3.7385 0.0298407 -0.235626  2.23927 -0.347314  -0.0297054 -0.235841  0.757772 -0.344315  
3.80133 0.0292463 -0.232381  2.23517 -0.344932  -0.0290996 -0.232576  0.761678 -0.342258  
3.86416 0.0286686 -0.229227  2.23117 -0.342489  -0.0285105 -0.229398  0.765492 -0.340196  
3.92699 0.0281068 -0.226159  2.22726 -0.339993  -0.0279375 -0.226306  0.769216 -0.338132  
3.98982 0.0275602 -0.223174  2.22344 -0.337448  -0.0273803 -0.223295  0.772855 -0.336067  
4.05265 0.0270283 -0.220267  2.21971 -0.334859  -0.0268383 -0.220363  0.776412 -0.334001  
