0.0314159265359 -0.1371890219395 -0.004680877392797   0.1338214001352 -0.004476578421955   
0.09424777960769 -0.1367167795904 -0.0140204899114   0.133395446487 -0.0134064620314   
0.1570796326795 -0.1357034146407 -0.02321378079457   0.132551826242 -0.02225342010403   
0.2199114857513 -0.1346518821754 -0.03265965562836   0.1312617541558 -0.03107226240594   
0.2827433388231 -0.1319452808733 -0.04102894632065   0.1297268307473 -0.03956113391528   
0.3455751918949 -0.1303552898411 -0.05002754749602   0.1275249163298 -0.04801324664965   
0.4084070449667 -0.1280066214205 -0.05885731952198   0.1251449308877 -0.05624748131277   
0.4712388980385 -0.1246947879115 -0.06708338324173   0.1225420264828 -0.06418964143308   
0.5340707511103 -0.1209285525795 -0.07475058508006   0.1195919634336 -0.07182360686956   
0.5969026041821 -0.1170714450651 -0.08202735585428   0.1162829934808 -0.0791397227488   
0.6597344572539 -0.1132124028695 -0.08902300839059   0.1126837140941 -0.08612623166354   
0.7225663103257 -0.1092893247196 -0.09575753487009   0.1088793911813 -0.09277232155654   
0.7853981633974 -0.1052116448237 -0.1021911663719   0.1049374043925 -0.09907015325724   
0.8482300164692 -0.1009236514811 -0.1082615583345   0.1008999073673 -0.1050147800853   
0.911061869541 -0.09642045677629 -0.1139103678881   0.09678977779277 -0.1106033420237   
0.9738937226128 -0.09173946328177 -0.1190970595174   0.09261972679942 -0.1158344769474   
1.036725575685 -0.08694382069014 -0.1238031307126   0.08839977700934 -0.1207081953338   
1.099557428756 -0.08210656651852 -0.1280306287066   0.08414178425044 -0.1252260975991   
1.162389281828 -0.07729880411441 -0.1317979742675   0.07986129813335 -0.1293917207408   
1.2252211349 -0.07258240781928 -0.1351350313018   0.07557758114561 -0.133210840658   
1.288052987972 -0.06800651207478 -0.1380784933158   0.07131260056195 -0.136691632063   
1.350884841044 -0.06360670412485 -0.1406680719673   0.06708961286423 -0.1398446547179   
1.413716694115 -0.05940591051225 -0.1429436214917   0.06293174032024 -0.1426826792357   
1.476548547187 -0.05541618929935 -0.1449431453564   0.05886076154855 -0.1452203888874   
1.539380400259 -0.05164087380599 -0.1467015476594   0.05489620649027 -0.147474001397   
1.602212253331 -0.04807671617107 -0.1482499678929   0.05105477039104 -0.1494608526166   
1.665044106403 -0.04471583031869 -0.1496155453306   0.04735001258276 -0.1511989769679   
1.727875959474 -0.04154733898041 -0.1508214810414   0.04379228900263 -0.1527067108121   
1.790707812546 -0.03855869785494 -0.1518872915646   0.04038886065157 -0.1540023363618   
1.853539665618 -0.03573671035151 -0.1528291734195   0.03714412461651 -0.1551037763283   
1.91637151869 -0.03306826733131 -0.1536604195245   0.03405992149585 -0.1560283435992   
1.979203371762 -0.03054085583016 -0.1543918465204   0.03113588191855 -0.15679254586   
2.042035224833 -0.02814288140774 -0.1550322059816   0.02836978476093 -0.1574119420578   
2.104867077905 -0.0258638460751 -0.1555885630311   0.02575790621377 -0.1579010457165   
2.167698930977 -0.02369441840557 -0.1560666335248   0.02329534658234 -0.158273269098   
2.230530784049 -0.02162642641645 -0.1564710763346   0.02097632624267 -0.1585409018407   
2.293362637121 -0.0196527981975 -0.1568057408639   0.0187944465809 -0.1587151177923   
2.356194490192 -0.01776746960139 -0.1570738722159   0.01674291446776 -0.1588060041402   
2.419026343264 -0.01596527379624 -0.1572782777698   0.01481473114154 -0.1588226075047   
2.481858196336 -0.0142418235716 -0.1574214595793   0.0130028473662 -0.1587729923111   
2.544690049408 -0.01259339413955 -0.1575057172011   0.01130028798793 -0.158664307435   
2.60752190248 -0.01101681159796 -0.1575332254574   0.009700248985078 -0.1585028577722   
2.670353755551 -0.009509350425297 -0.1575060913436   0.008196170815837 -0.1582941780065   
2.733185608623 -0.008068641773587 -0.1574263938938   0.006781791134498 -0.1580431064007   
2.796017461695 -0.006692593436423 -0.1572962103781   0.005451180403863 -0.157753856932   
2.858849314767 -0.005379321426934 -0.1571176317478   0.004198763275415 -0.1574300885154   
2.921681167839 -0.004127092792878 -0.1568927698164   0.003019328431226 -0.1570749704158   
2.98451302091 -0.002934278755708 -0.1566237582555   0.001908029203688 -0.1566912432499   
3.047344873982 -0.001799317297772 -0.1563127491232   0.0008603771498589 -0.1562812752195   
3.110176727054 -0.0007206839971744 -0.1559619063202   -0.0001277698153116 -0.1558471134121   
3.173008580126 0.0003031298775873 -0.1555733970882   -0.001060223154169 -0.1553905301568   
3.235840433197 0.001273633145185 -0.1551493824283   -0.001940482165067 -0.1549130645402   
3.298672286269 0.002192345343965 -0.1546920071142   -0.002771754072766 -0.1544160592704   
3.361504139341 0.003060803117746 -0.1542033898074   -0.003556975089671 -0.1539006931408   
3.424335992413 0.003880563187303 -0.1536856136455   -0.004298831624824 -0.153368009383   
3.487167845485 0.004653202619503 -0.1531407175597   -0.004999781347838 -0.1528189402242   
