0.0314159 -0.137189 -0.00468088  12.1026 -0.215433  0.133821 -0.00447658  -5.28717 -0.216621  
0.0942478 -0.136717 -0.0140205  12.06 -0.643347  0.133395 -0.0134065  -5.24426 -0.646664  
0.15708 -0.135703 -0.0232138  11.981 -1.05982  0.132552 -0.0222534  -5.15981 -1.06652  
0.219911 -0.134652 -0.0326597  11.835 -1.47047  0.131262 -0.0310723  -5.03609 -1.4763  
0.282743 -0.131945 -0.0410289  11.7313 -1.85213  0.129727 -0.0395611  -4.87386 -1.85336  
0.345575 -0.130355 -0.0500275  11.5064 -2.20368  0.127525 -0.0480132  -4.68864 -2.22248  
0.408407 -0.128007 -0.0588573  11.2679 -2.53697  0.125145 -0.0562475  -4.46755 -2.55867  
0.471239 -0.124695 -0.0670834  11.0379 -2.85209  0.122542 -0.0641896  -4.22216 -2.85924  
0.534071 -0.120929 -0.0747506  10.8006 -3.1389  0.119592 -0.0718236  -3.96278 -3.13004  
0.596903 -0.117071 -0.0820274  10.5455 -3.38916  0.116283 -0.0791397  -3.69367 -3.37389  
0.659734 -0.113212 -0.089023  10.2733 -3.60147  0.112684 -0.0861262  -3.41689 -3.5901  
0.722566 -0.109289 -0.0957575  9.99019 -3.77968  0.108879 -0.0927723  -3.13488 -3.77723  
0.785398 -0.105212 -0.102191  9.70339 -3.92953  0.104937 -0.0990702  -2.85087 -3.93494  
0.84823 -0.100924 -0.108262  9.41845 -4.05626  0.1009 -0.105015  -2.56826 -4.06451  
0.911062 -0.0964205 -0.11391  9.13913 -4.16368  0.0967898 -0.110603  -2.29004 -4.16839  
0.973894 -0.0917395 -0.119097  8.86783 -4.25418  0.0926197 -0.115834  -2.01851 -4.24962  
1.03673 -0.0869438 -0.123803  8.60611 -4.3292  0.0883998 -0.120708  -1.75526 -4.31128  
1.09956 -0.0821066 -0.128031  8.35501 -4.38963  0.0841418 -0.125226  -1.50131 -4.35617  
1.16239 -0.0772988 -0.131798  8.1153 -4.43617  0.0798613 -0.129392  -1.25727 -4.38672  
1.22522 -0.0725824 -0.135135  7.88751 -4.46954  0.0755776 -0.133211  -1.0235 -4.40498  
1.28805 -0.0680065 -0.138078  7.67194 -4.49058  0.0713126 -0.136692  -0.80017 -4.41261  
1.35088 -0.0636067 -0.140668  7.46868 -4.50025  0.0670896 -0.139845  -0.587357 -4.41105  
1.41372 -0.0594059 -0.142944  7.2776 -4.49957  0.0629317 -0.142683  -0.385056 -4.4015  
1.47655 -0.0554162 -0.144943  7.0984 -4.48965  0.0588608 -0.14522  -0.193192 -4.38503  
1.53938 -0.0516409 -0.146702  6.93061 -4.47158  0.0548962 -0.147474  -0.0116292 -4.36258  
1.60221 -0.0480767 -0.14825  6.77365 -4.44639  0.0510548 -0.149461  0.159831 -4.33498  
1.66504 -0.0447158 -0.149616  6.62683 -4.4151  0.04735 -0.151199  0.321446 -4.303  
1.72788 -0.0415473 -0.150821  6.48947 -4.3786  0.0437923 -0.152707  0.473528 -4.26734  
1.79071 -0.0385587 -0.151887  6.36084 -4.33773  0.0403889 -0.154002  0.616438 -4.2286  
1.85354 -0.0357367 -0.152829  6.24023 -4.29322  0.0371441 -0.155104  0.750572 -4.18734  
1.91637 -0.0330683 -0.15366  6.12697 -4.24573  0.0340599 -0.156028  0.876359 -4.14403  
1.9792 -0.0305409 -0.154392  6.02042 -4.19585  0.0311359 -0.156793  0.994243 -4.09909  
2.04204 -0.0281429 -0.155032  5.92002 -4.14406  0.0283698 -0.157412  1.10468 -4.0529  
2.10487 -0.0258638 -0.155589  5.82522 -4.09083  0.0257579 -0.157901  1.20813 -4.00575  
2.1677 -0.0236944 -0.156067  5.73556 -4.03653  0.0232953 -0.158273  1.30505 -3.95792  
2.23053 -0.0216264 -0.156471  5.6506 -3.9815  0.0209763 -0.158541  1.39588 -3.90961  
2.29336 -0.0196528 -0.156806  5.56998 -3.92603  0.0187944 -0.158715  1.48105 -3.86101  
2.35619 -0.0177675 -0.157074  5.49335 -3.87037  0.0167429 -0.158806  1.56096 -3.81228  
2.41903 -0.0159653 -0.157278  5.42043 -3.81473  0.0148147 -0.158823  1.63602 -3.76354  
2.48186 -0.0142418 -0.157421  5.35096 -3.75931  0.0130028 -0.158773  1.70657 -3.71489  
2.54469 -0.0125934 -0.157506  5.28469 -3.70427  0.0113003 -0.158664  1.77298 -3.66642  
2.60752 -0.0110168 -0.157533  5.22144 -3.64973  0.00970025 -0.158503  1.83556 -3.61819  
2.67035 -0.00950935 -0.157506  5.16102 -3.59581  0.00819617 -0.158294  1.8946 -3.57028  
2.73319 -0.00806864 -0.157426  5.10326 -3.54262  0.00678179 -0.158043  1.95039 -3.52272  
2.79602 -0.00669259 -0.157296  5.04802 -3.49023  0.00545118 -0.157754  2.00318 -3.47556  
2.85885 -0.00537932 -0.157118  4.99517 -3.43871  0.00419876 -0.15743  2.05321 -3.42884  
2.92168 -0.00412709 -0.156893  4.94458 -3.38811  0.00301933 -0.157075  2.10068 -3.38258  
2.98451 -0.00293428 -0.156624  4.89615 -3.33848  0.00190803 -0.156691  2.1458 -3.33681  
3.04734 -0.00179932 -0.156313  4.84978 -3.28984  0.000860377 -0.156281  2.18874 -3.29157  
3.11018 -0.000720684 -0.155962  4.80536 -3.24223  -0.00012777 -0.155847  2.22967 -3.24686  
3.17301 0.00030313 -0.155573  4.76282 -3.19566  -0.00106022 -0.155391  2.26874 -3.20272  
3.23584 0.00127363 -0.155149  4.72206 -3.15013  -0.00194048 -0.154913  2.30608 -3.15915  
3.29867 0.00219235 -0.154692  4.68301 -3.10565  -0.00277175 -0.154416  2.34182 -3.11619  
3.3615 0.0030608 -0.154203  4.6456 -3.06222  -0.00355698 -0.153901  2.37608 -3.07384  
3.42434 0.00388056 -0.153686  4.60976 -3.01982  -0.00429883 -0.153368  2.40894 -3.03212  
3.48717 0.0046532 -0.153141  4.57542 -2.97846  -0.00499978 -0.152819  2.44051 -2.99104  
3.55 0.00538032 -0.152571  4.54251 -2.93812  -0.00566207 -0.152254  2.47087 -2.95062  
3.61283 0.00606352 -0.151977  4.51098 -2.89877  -0.00628777 -0.151675  2.50009 -2.91086  
3.67566 0.00670443 -0.151363  4.48077 -2.8604  -0.00687876 -0.151081  2.52825 -2.87178  
3.7385 0.00730467 -0.150729  4.45181 -2.82298  -0.00743678 -0.150475  2.55541 -2.83339  
3.80133 0.00786587 -0.150077  4.42407 -2.7865  -0.00796342 -0.149855  2.58162 -2.79569  
3.86416 0.00838966 -0.149409  4.39748 -2.75093  -0.00846018 -0.149223  2.60694 -2.75869  
3.92699 0.00887765 -0.148726  4.372 -2.71624  -0.00892841 -0.14858  2.63142 -2.7224  
3.98982 0.00933142 -0.14803  4.34758 -2.68241  -0.00936938 -0.147926  2.6551 -2.68681  
4.05265 0.00975256 -0.147323  4.32417 -2.64941  -0.00978429 -0.147261  2.67801 -2.65194  
4.11549 0.0101426 -0.146605  4.30172 -2.61721  -0.0101742 -0.146587  2.7002 -2.61778  
4.17832 0.0105031 -0.145877  4.28021 -2.58579  -0.0105403 -0.145903  2.7217 -2.58433  
4.24115 0.0108355 -0.145142  4.25957 -2.55512  -0.0108834 -0.14521  2.74254 -2.55159  
4.30398 0.0111412 -0.144401  4.23979 -2.52517  -0.0112044 -0.14451  2.76275 -2.51956  
4.36681 0.0114217 -0.143653  4.2208 -2.49592  -0.0115044 -0.143801  2.78234 -2.48824  
4.42965 0.0116783 -0.1429  4.20259 -2.46733  -0.011784 -0.143086  2.80135 -2.45762  
4.49248 0.0119123 -0.142144  4.18511 -2.43939  -0.0120442 -0.142364  2.8198 -2.4277  
4.55531 0.012125 -0.141384  4.16833 -2.41207  -0.0122857 -0.141636  2.83771 -2.39846  
4.61814 0.0123176 -0.140622  4.15222 -2.38535  -0.0125091 -0.140902  2.85509 -2.36991  
4.68097 0.0124913 -0.139859  4.13674 -2.3592  -0.0127154 -0.140164  2.87197 -2.34203  
4.7438 0.0126473 -0.139094  4.12187 -2.33359  -0.012905 -0.139421  2.88835 -2.31481  
4.80664 0.0127865 -0.138329  4.10757 -2.30852  -0.0130787 -0.138674  2.90426 -2.28826  
4.86947 0.01291 -0.137564  4.09382 -2.28395  -0.0132371 -0.137924  2.91971 -2.26234  
4.9323 0.0130188 -0.1368  4.08059 -2.25988  -0.0133808 -0.137171  2.93471 -2.23707  
4.99513 0.0131139 -0.136037  4.06785 -2.23627  -0.0135105 -0.136416  2.94928 -2.21241  
5.05796 0.013196 -0.135276  4.05558 -2.21311  -0.0136268 -0.135659  2.96342 -2.18837  
5.1208 0.0132661 -0.134516  4.04376 -2.19038  -0.0137301 -0.1349  2.97715 -2.16493  
5.18363 0.013325 -0.133759  4.03237 -2.16807  -0.0138211 -0.13414  2.99048 -2.14207  
5.24646 0.0133733 -0.133004  4.02137 -2.14616  -0.0139003 -0.13338  3.00341 -2.11979  
5.30929 0.0134119 -0.132252  4.01076 -2.12464  -0.0139682 -0.132619  3.01596 -2.09806  
5.37212 0.0134413 -0.131504  4.0005 -2.10349  -0.0140253 -0.131859  3.02814 -2.07688  
5.43496 0.0134623 -0.130759  3.99059 -2.0827  -0.0140722 -0.1311  3.03996 -2.05624  
5.49779 0.0134753 -0.130017  3.981 -2.06226  -0.0141093 -0.130341  3.05142 -2.03611  
5.56062 0.0134811 -0.129279  3.97172 -2.04215  -0.014137 -0.129584  3.06253 -2.01649  
5.62345 0.01348 -0.128545  3.96273 -2.02236  -0.0141558 -0.128828  3.07331 -1.99736  
5.68628 0.0134726 -0.127815  3.95401 -2.00289  -0.0141662 -0.128075  3.08375 -1.97871  
