0.0314159265359 0.5139715895652 -0.06704729553399   -0.4659508316239 -0.9925795701878   -0.2941095023682 -0.1056929828246   
0.09424777960769 0.4964397610203 -0.09756456219512   -0.2951605239747 -0.9107258300832   -0.2820907382858 -0.1182121408573   
0.1570796326795 0.4783848418754 -0.1233435770925   -0.2121997777876 -0.8281415886694   -0.2747277426545 -0.1267065485781   
0.2199114857513 0.4609590154864 -0.1443638237576   -0.1612302407493 -0.7604737853746   -0.2675230060696 -0.135345847428   
0.2827433388231 0.4413678325194 -0.1647864932212   -0.125321470087 -0.7043021720726   -0.2612194365254 -0.141733584352   
0.3455751918949 0.4216651940418 -0.1812633687216   -0.0991122623157 -0.6563867220448   -0.2545363582171 -0.1480781591776   
0.4084070449667 0.402470171457 -0.1941146915104   -0.07968109977721 -0.6150914861867   -0.2474514706498 -0.1542387438266   
0.4712388980385 0.3838699205677 -0.2043263538945   -0.06505754611099 -0.5792905894366   -0.2402433762755 -0.1597643697564   
0.5340707511103 0.365898923617 -0.2125759591671   -0.05386966413047 -0.5480529494537   -0.2331181360087 -0.1644716280683   
0.5969026041821 0.3486226650576 -0.2192314352039   -0.04516548724552 -0.5205963676618   -0.2261743697277 -0.1683912653071   
0.6597344572539 0.3321170466903 -0.2245016423649   -0.03828564159828 -0.4962798600309   -0.2194442378965 -0.1716410886777   
0.7225663103257 0.3164432842793 -0.2285383183114   -0.03277097282488 -0.4745886299125   -0.2129303278547 -0.1743484320273   
0.7853981633974 0.3016364650694 -0.2314811643627   -0.02829795361981 -0.4551126166754   -0.2066264522646 -0.1766188529966   
0.8482300164692 0.2877047334192 -0.233470255503   -0.02463479625623 -0.4375245904158   -0.2005266338181 -0.178530036474   
0.911061869541 0.2746337338051 -0.2346446230265   -0.02161211031569 -0.4215611561074   -0.1946276777091 -0.1801359923066   
0.9738937226128 0.2623926360764 -0.2351370624702   -0.01910342105853 -0.4070076481632   -0.1889289236987 -0.1814738400537   
1.036725575685 0.2509398747941 -0.2350694325332   -0.01701223290155 -0.3936866779987   -0.1834310980478 -0.1825699641322   
1.099557428756 0.2402278519442 -0.2345497336137   -0.01526339569233 -0.3814496648967   -0.1781351414389 -0.1834445830605   
1.162389281828 0.230206463847 -0.2336709676691   -0.01379728746527 -0.3701706346568   -0.1730413311981 -0.1841147432849   
1.2252211349 0.2208255699695 -0.2325113484686   -0.01256584362239 -0.3597416740073   -0.1681487532901 -0.1845960721413   
1.288052987972 0.2120366116669 -0.2311353758809   -0.01152980098434 -0.3500695670035   -0.16345507187 -0.1849036670578   
1.350884841044 0.2037935906093 -0.2295953708549   -0.01065674807243 -0.3410732662642   -0.1589565161975 -0.1850524377513   
1.413716694115 0.1960535920851 -0.227933181449   -0.009919714729576 -0.3326819529085   -0.1546480072054 -0.1850571346152   
1.476548547187 0.1887769934521 -0.2261818723845   -0.009296128551366 -0.324833514141   -0.1505233619491 -0.1849322209231   
1.539380400259 0.1819274693558 -0.2243672890945   -0.008767023672294 -0.3174733209944   -0.1465755310323 -0.184691687923   
1.602212253331 0.1754718685781 -0.2225094421801   -0.008316427074569 -0.3105532258996   -0.1427968383597 -0.1843488702686   
1.665044106403 0.1693800189395 -0.2206236940808   -0.007930872314809 -0.3040307251138   -0.1391792054523 -0.1839162914611   
1.727875959474 0.1636244961392 -0.2187217515264   -0.007599006670352 -0.2978682481081   -0.1357143495713 -0.1834055514521   
1.790707812546 0.1581803810423 -0.2168124793778   -0.007311268645849 -0.2920325474433   -0.1323939516501 -0.1828272581822   
1.853539665618 0.1530250200175 -0.2149025570895   -0.007059619746092 -0.2864941702696   -0.1292097932936 -0.1821909992059   
1.91637151869 0.1481377978882 -0.2129970006707   -0.006837318853165 -0.2812269976636   -0.1261538643823 -0.1815053469431   
1.979203371762 0.14349992813 -0.2110995723291   -0.006638731078577 -0.2762078414185   -0.1232184444893 -0.1807778903133   
2.042035224833 0.1390942619655 -0.209213098042   -0.006459164729145 -0.271416090208   -0.1203961611296 -0.180015285763   
2.104867077905 0.1349051172069 -0.2073397108184   -0.006294731740547 -0.2668333986422   -0.1176800287575 -0.1792233214705   
2.167698930977 0.13091812567 -0.2054810347991   -0.006142227843259 -0.2624434138559   -0.1150634717056 -0.1784069895088   
2.230530784049 0.1271200982413 -0.2036383228362   -0.005999029450538 -0.258231535102   -0.1125403342285 -0.1775705617705   
