0.0314159 0.446151 -0.247294  2.49329 -0.071158  0.0250543 -0.809757  2.99163 -0.316923  -0.359078 -0.191536  3.52214 -0.0956436  
0.0942478 0.385607 -0.251036  2.47189 -0.242271  5.49853e-05 -0.710775  2.97175 -0.480192  -0.352371 -0.193747  3.58122 -0.163912  
0.15708 0.380739 -0.218498  2.38927 -0.161274  -0.0107917 -0.658392  2.97471 -0.561655  -0.333581 -0.211337  3.52083 -0.308879  
0.219911 0.353101 -0.252852  2.54817 -0.336604  -0.0129848 -0.605819  2.97355 -0.656222  -0.326357 -0.216484  3.4819 -0.336615  
0.282743 0.32953 -0.243854  2.50334 -0.410286  -0.010501 -0.562625  2.96609 -0.743573  -0.310786 -0.214028  3.51164 -0.398341  
0.345575 0.311324 -0.231749  2.43478 -0.458919  -0.0085752 -0.531227  2.96082 -0.806983  -0.294533 -0.211716  3.54423 -0.469394  
0.408407 0.296389 -0.227009  2.40738 -0.508245  -0.00783823 -0.506539  2.9601 -0.855176  -0.280469 -0.211033  3.56084 -0.534776  
0.471239 0.283278 -0.227144  2.41345 -0.559366  -0.00769775 -0.484808  2.9626 -0.898589  -0.26857 -0.211422  3.56418 -0.591046  
0.534071 0.271282 -0.2286  2.4316 -0.607862  -0.00763451 -0.464503  2.9664 -0.942421  -0.258168 -0.212166  3.56091 -0.639571  
0.596903 0.260102 -0.22944  2.44751 -0.651986  -0.00740325 -0.445338  2.97012 -0.987667  -0.248708 -0.212823  3.55582 -0.682716  
0.659734 0.249619 -0.229087  2.45559 -0.692272  -0.00695182 -0.427467  2.97298 -1.03322  -0.239862 -0.213198  3.55127 -0.722365  
0.722566 0.239782 -0.227671  2.45559 -0.729813  -0.00632207 -0.411081  2.97471 -1.0773  -0.231469 -0.21325  3.54799 -0.759639  
0.785398 0.23056 -0.225556  2.44969 -0.765441  -0.0055856 -0.396274  2.97531 -1.11829  -0.223469 -0.213013  3.54589 -0.795047  
0.84823 0.221919 -0.223111  2.44061 -0.799575  -0.00481155 -0.383024  2.975 -1.15499  -0.215845 -0.212543  3.54456 -0.828717  
0.911062 0.213827 -0.220614  2.43083 -0.832315  -0.00405392 -0.37122  2.97404 -1.18676  -0.208596 -0.211899  3.54357 -0.860581  
0.973894 0.206245 -0.218239  2.42214 -0.863571  -0.00334932 -0.360703  2.97274 -1.21347  -0.201719 -0.211131  3.54255 -0.890503  
1.03673 0.199133 -0.216073  2.41567 -0.89317  -0.00271906 -0.351295  2.97133 -1.23534  -0.19521 -0.210276  3.54124 -0.918355  
1.09956 0.192454 -0.214139  2.41192 -0.920934  -0.00217266 -0.342817  2.97 -1.25284  -0.189056 -0.209361  3.53953 -0.944054  
1.16239 0.18617 -0.212422  2.41094 -0.946726  -0.00171143 -0.335108  2.9689 -1.26657  -0.183241 -0.208404  3.53734 -0.967573  
1.22522 0.180247 -0.210883  2.41247 -0.970475  -0.00133138 -0.328026  2.9681 -1.2772  -0.177743 -0.207414  3.5347 -0.988946  
1.28805 0.174655 -0.209477  2.41605 -0.992185  -0.00102547 -0.321452  2.96764 -1.28533  -0.17254 -0.206399  3.53165 -1.00825  
1.35088 0.169365 -0.208161  2.42117 -1.01192  -0.000785248 -0.315291  2.96754 -1.29154  -0.16761 -0.205361  3.52827 -1.02561  
1.41372 0.164352 -0.206895  2.42731 -1.02982  -0.000601874 -0.309466  2.96779 -1.29632  -0.162928 -0.204301  3.52465 -1.04117  
1.47655 0.159592 -0.205645  2.434 -1.04602  -0.000466812 -0.303918  2.96835 -1.30007  -0.158475 -0.203219  3.52085 -1.05508  
1.53938 0.155067 -0.204389  2.44084 -1.06071  -0.000372208 -0.298602  2.96919 -1.3031  -0.154229 -0.202116  3.51695 -1.0675  
1.60221 0.150757 -0.203108  2.44753 -1.07406  -0.000311074 -0.293485  2.97029 -1.30567  -0.150174 -0.200991  3.51301 -1.0786  
1.66504 0.146648 -0.201792  2.45383 -1.08626  -0.000277344 -0.288544  2.9716 -1.30794  -0.146293 -0.199845  3.50907 -1.08853  
1.72788 0.142724 -0.200438  2.4596 -1.09746  -0.000265848 -0.283761  2.97311 -1.31004  -0.142571 -0.198678  3.50517 -1.09744  
1.79071 0.138973 -0.199044  2.46476 -1.10779  -0.000272241 -0.279124  2.97477 -1.31205  -0.138996 -0.197491  3.50134 -1.10544  
1.85354 0.135383 -0.197614  2.46927 -1.11738  -0.000292914 -0.274625  2.97657 -1.314  -0.135557 -0.196284  3.49758 -1.11267  
