0.0314159 0.51036 -0.0632344  2.3883 -0.0317465  -0.428216 -1.03232  2.53768 -0.124749  -0.286169 -0.107912  3.27224 -0.0474426  
0.0942478 0.495827 -0.0950394  2.38833 -0.0950985  -0.286749 -0.909211  2.53532 -0.25254  -0.27979 -0.117222  3.27564 -0.136519  
0.15708 0.478549 -0.122953  2.38844 -0.155852  -0.207105 -0.821001  2.53327 -0.349747  -0.273393 -0.125531  3.27766 -0.216961  
0.219911 0.457995 -0.148241  2.38671 -0.222295  -0.15812 -0.752403  2.53564 -0.428779  -0.26728 -0.133326  3.27423 -0.290045  
0.282743 0.437469 -0.166509  2.3803 -0.273319  -0.123135 -0.696494  2.53717 -0.498502  -0.260381 -0.141111  3.26824 -0.368646  
0.345575 0.417538 -0.181415  2.37559 -0.319857  -0.0976237 -0.650217  2.53887 -0.559733  -0.253344 -0.147717  3.26639 -0.440174  
0.408407 0.398255 -0.19394  2.37348 -0.364393  -0.0787375 -0.610891  2.54176 -0.61451  -0.246408 -0.153319  3.26697 -0.504399  
0.471239 0.379635 -0.204252  2.37274 -0.406919  -0.0644754 -0.576684  2.54602 -0.664827  -0.239587 -0.158253  3.26759 -0.563618  
0.534071 0.361716 -0.212504  2.37228 -0.447459  -0.053492 -0.546469  2.55145 -0.711954  -0.232849 -0.162692  3.2672 -0.619354  
0.596903 0.344552 -0.218938  2.37163 -0.486272  -0.0448967 -0.519541  2.5578 -0.756508  -0.226183 -0.166685  3.26581 -0.672235  
0.659734 0.328195 -0.223833  2.37075 -0.523643  -0.03809 -0.49542  2.56488 -0.798694  -0.219599 -0.17023  3.26385 -0.722408  
0.722566 0.312679 -0.227452  2.36984 -0.559756  -0.0326551 -0.473741  2.57256 -0.838523  -0.213125 -0.173319  3.2618 -0.769853  
0.785398 0.298025 -0.230021  2.36911 -0.594673  -0.0282899 -0.454203  2.58077 -0.875943  -0.206789 -0.175956  3.26005 -0.814528  
0.84823 0.284233 -0.23173  2.36872 -0.628368  -0.0247681 -0.436544  2.58946 -0.910907  -0.200622 -0.17816  3.25885 -0.856424  
0.911062 0.271286 -0.232729  2.36876 -0.66077  -0.0219153 -0.420536  2.59857 -0.943409  -0.194647 -0.17996  3.25829 -0.89557  
0.973894 0.259158 -0.233143  2.36925 -0.691798  -0.0195945 -0.405975  2.60806 -0.973484  -0.18888 -0.181395  3.25839 -0.932023  
1.03673 0.247812 -0.233073  2.37015 -0.721387  -0.0176971 -0.392682  2.61785 -1.00121  -0.183334 -0.182504  3.25908 -0.965859  
1.09956 0.237205 -0.232602  2.37141 -0.749494  -0.0161363 -0.380501  2.62787 -1.02669  -0.178014 -0.183328  3.26027 -0.997166  
1.16239 0.227293 -0.231798  2.37295 -0.77611  -0.0148431 -0.369296  2.63805 -1.05005  -0.172921 -0.183904  3.26186 -1.02604  
1.22522 0.218027 -0.230722  2.3747 -0.801247  -0.0137619 -0.358949  2.64831 -1.07143  -0.168051 -0.184268  3.26374 -1.05258  
1.28805 0.209362 -0.229423  2.3766 -0.824943  -0.0128488 -0.34936  2.65858 -1.09096  -0.163398 -0.184451  3.2658 -1.07688  
1.35088 0.201252 -0.227943  2.3786 -0.847252  -0.0120689 -0.34044  2.66878 -1.10879  -0.158955 -0.184478  3.26797 -1.09906  
