0.0314159 0.523694 -0.0672112  2.43951 -0.033741  -0.459032 -1.03739  2.55155 -0.104393  -0.28806 -0.109562  3.24561 -0.0472619  
0.0942478 0.508864 -0.0996613  2.44113 -0.0928753  -0.305198 -0.91487  2.54794 -0.235777  -0.283394 -0.117494  3.2463 -0.111079  
0.15708 0.494104 -0.124508  2.44566 -0.131745  -0.223375 -0.837908  2.54145 -0.318853  -0.275946 -0.126697  3.24976 -0.204086  
0.219911 0.467733 -0.153349  2.43261 -0.21551  -0.162082 -0.765953  2.53257 -0.405527  -0.271647 -0.132179  3.25481 -0.243925  
0.282743 0.450244 -0.170635  2.43485 -0.24938  -0.119424 -0.693392  2.53227 -0.506892  -0.261821 -0.14198  3.25108 -0.360343  
0.345575 0.429128 -0.186278  2.42943 -0.295675  -0.0936679 -0.642122  2.5355 -0.580579  -0.253256 -0.148498  3.25898 -0.445506  
0.408407 0.405527 -0.199956  2.41947 -0.354106  -0.0772252 -0.60592  2.5412 -0.628309  -0.245997 -0.152954  3.27303 -0.506869  
0.471239 0.382585 -0.210474  2.40901 -0.411717  -0.0648598 -0.576449  2.54729 -0.665254  -0.238904 -0.1571  3.28377 -0.565717  
0.534071 0.361824 -0.217837  2.39902 -0.461297  -0.0542742 -0.549442  2.55207 -0.701831  -0.231478 -0.16147  3.2874 -0.630154  
0.596903 0.343397 -0.22273  2.38938 -0.502005  -0.0448341 -0.523652  2.55501 -0.741767  -0.223783 -0.165873  3.28473 -0.698506  
0.659734 0.326873 -0.22593  2.38014 -0.536227  -0.0365529 -0.499155  2.55652 -0.784766  -0.216104 -0.169946  3.27855 -0.765893  
0.722566 0.311728 -0.228041  2.37165 -0.567024  -0.0295688 -0.47635  2.55755 -0.828886  -0.208727 -0.173415  3.27195 -0.827976  
0.785398 0.297555 -0.229451  2.36436 -0.596869  -0.0239464 -0.455539  2.55925 -0.871942  -0.201845 -0.176161  3.2673 -0.882176  
0.84823 0.284103 -0.230373  2.35862 -0.627256  -0.0196369 -0.436824  2.56261 -0.912172  -0.195546 -0.17819  3.26596 -0.927585  
0.911062 0.271256 -0.23091  2.35461 -0.658776  -0.0165015 -0.420133  2.56833 -0.948461  -0.189838 -0.17959  3.26827 -0.964476  
0.973894 0.258988 -0.231102  2.35233 -0.691353  -0.0143499 -0.405282  2.5767 -0.980329  -0.184672 -0.180482  3.27386 -0.993795  
1.03673 0.247317 -0.230966  2.35161 -0.724493  -0.0129743 -0.392032  2.58764 -1.0078  -0.179972 -0.180996  3.2819 -1.0168  
1.09956 0.236281 -0.230513  2.35218 -0.757502  -0.0121737 -0.380136  2.60078 -1.03123  -0.175649 -0.181248  3.29139 -1.0348  
1.16239 0.225914 -0.229758  2.35368 -0.789643  -0.0117689 -0.36936  2.61557 -1.0512  -0.171618 -0.181334  3.30137 -1.04905  
1.22522 0.216239 -0.228725  2.35576 -0.820234  -0.0116094 -0.359503  2.63139 -1.06833  -0.167802 -0.181327  3.31096 -1.06064  
1.28805 0.207263 -0.227448  2.35805 -0.848709  -0.0115759 -0.350395  2.64763 -1.08326  -0.164136 -0.181276  3.31951 -1.07049  
1.35088 0.198974 -0.225963  2.36026 -0.874639  -0.011578 -0.341905  2.66371 -1.09654  -0.160572 -0.181213  3.32654 -1.07931  
1.41372 0.191347 -0.224311  2.36219 -0.897741  -0.0115518 -0.333928  2.67915 -1.10866  -0.157073 -0.181153  3.33174 -1.08763  
1.47655 0.184344 -0.222533  2.3637 -0.917866  -0.0114553 -0.326388  2.69358 -1.11998  -0.153612 -0.181103  3.33497 -1.09585  
1.53938 0.177919 -0.220666  2.36475 -0.93498  -0.0112643 -0.319228  2.70669 -1.13074  -0.150174 -0.181058  3.33624 -1.10421  
1.60221 0.172022 -0.218746  2.36535 -0.949149  -0.0109685 -0.312407  2.71828 -1.14112  -0.146753 -0.181011  3.33562 -1.11284  
1.66504 0.166597 -0.216803  2.36561 -0.960515  -0.0105682 -0.305897  2.72823 -1.1512  -0.143346 -0.180952  3.33326 -1.12182  
1.72788 0.161593 -0.214864  2.36565 -0.969281  -0.0100707 -0.299676  2.7365 -1.16097  -0.139956 -0.180868  3.32936 -1.13114  
1.79071 0.156956 -0.212949  2.36563 -0.975693  -0.00948849 -0.29373  2.7431 -1.17041  -0.13659 -0.180748  3.32416 -1.14076  
1.85354 0.152638 -0.211073  2.36573 -0.980022  -0.00883666 -0.288047  2.74809 -1.17942  -0.133254 -0.180583  3.31789 -1.15061  
1.91637 0.148592 -0.209249  2.36612 -0.982555  -0.00813184 -0.282618  2.75158 -1.18791  -0.129957 -0.180362  3.3108 -1.16062  
1.9792 0.144778 -0.207484  2.36696 -0.983581  -0.00739084 -0.277433  2.7537 -1.19577  -0.126709 -0.18008  3.30311 -1.17071  
2.04204 0.14116 -0.20578  2.36841 -0.983383  -0.00662985 -0.272485  2.75462 -1.20289  -0.123517 -0.179731  3.29506 -1.18079  
2.10487 0.137705 -0.20414  2.37059 -0.982231  -0.0058639 -0.267765  2.75451 -1.20916  -0.120391 -0.179312  3.28684 -1.19079  
2.1677 0.134387 -0.202562  2.3736 -0.980377  -0.00510643 -0.263262  2.75357 -1.2145  -0.117338 -0.178822  3.27863 -1.20064  
2.23053 0.131181 -0.201043  2.37751 -0.978049  -0.00436918 -0.258969  2.75198 -1.21884  -0.114362 -0.17826  3.27061 -1.21027  
2.29336 0.128071 -0.199578  2.38237 -0.975452  -0.00366204 -0.254874  2.74992 -1.22212  -0.111471 -0.177628  3.2629 -1.21962  
2.35619 0.125039 -0.198161  2.38822 -0.972766  -0.00299307 -0.250967  2.74758 -1.22434  -0.108667 -0.17693  3.25563 -1.22865  
2.41903 0.122073 -0.196786  2.39505 -0.970145  -0.00236859 -0.247236  2.74512 -1.22547  -0.105954 -0.176167  3.24888 -1.23732  
2.48186 0.119166 -0.195448  2.40285 -0.967718  -0.00179331 -0.243672  2.7427 -1.22554  -0.103334 -0.175345  3.24274 -1.24559  
2.54469 0.116308 -0.194139  2.4116 -0.965592  -0.00127041 -0.240261  2.74045 -1.22459  -0.100808 -0.174469  3.23725 -1.25343  
2.60752 0.113497 -0.192853  2.42124 -0.96385  -0.000801766 -0.236995  2.73848 -1.22266  -0.0983749 -0.173543  3.23247 -1.26081  
2.67035 0.110727 -0.191584  2.43172 -0.962559  -0.00038809 -0.23386  2.7369 -1.21983  -0.0960354 -0.172572  3.22841 -1.26771  
2.73319 0.107999 -0.190327  2.44297 -0.961766  -2.90815e-05 -0.230847  2.7358 -1.21616  -0.093788 -0.171563  3.22507 -1.2741  
2.79602 0.105312 -0.189075  2.45493 -0.961504  0.000276402 -0.227947  2.73522 -1.21174  -0.0916308 -0.170521  3.22247 -1.27998  
2.85885 0.102665 -0.187826  2.46751 -0.961792  0.000530201 -0.225148  2.73522 -1.20667  -0.0895616 -0.16945  3.22058 -1.28531  
2.92168 0.100061 -0.186574  2.48063 -0.96264  0.000734717 -0.222442  2.73583 -1.20103  -0.0875776 -0.168356  3.21938 -1.2901  
2.98451 0.0975003 -0.185317  2.4942 -0.964047  0.000892785 -0.219821  2.73707 -1.19492  -0.085676 -0.167244  3.21884 -1.29433  
3.04734 0.0949857 -0.184051  2.50814 -0.966003  0.00100757 -0.217277  2.73893 -1.18843  -0.0838535 -0.166118  3.21893 -1.29799  
3.11018 0.0925191 -0.182775  2.52236 -0.968495  0.00108246 -0.214802  2.74142 -1.18166  -0.0821067 -0.164983  3.21959 -1.30106  
3.17301 0.090103 -0.181487  2.53677 -0.971501  0.00112099 -0.21239  2.74451 -1.17469  -0.0804322 -0.163841  3.22079 -1.30356  
3.23584 0.0877396 -0.180185  2.55129 -0.974999  0.00112675 -0.210035  2.74818 -1.16761  -0.0788265 -0.162698  3.22246 -1.30547  
3.29867 0.0854311 -0.178869  2.56583 -0.97896  0.00110336 -0.207732  2.75241 -1.1605  -0.077286 -0.161555  3.22457 -1.30679  
3.3615 0.0831797 -0.177539  2.58031 -0.983355  0.00105437 -0.205475  2.75714 -1.15343  -0.0758071 -0.160417  3.22705 -1.30753  
3.42434 0.0809871 -0.176195  2.59466 -0.988153  0.000983247 -0.203261  2.76235 -1.14647  -0.0743865 -0.159284  3.22986 -1.30768  
3.48717 0.0788551 -0.174837  2.60879 -0.993319  0.000893337 -0.201085  2.76799 -1.13968  -0.0730206 -0.158161  3.23294 -1.30725  
3.55 0.0767851 -0.173467  2.62263 -0.998819  0.000787833 -0.198945  2.77401 -1.13313  -0.0717061 -0.157048  3.23624 -1.30624  
3.61283 0.0747782 -0.172084  2.63612 -1.00462  0.000669756 -0.196838  2.78037 -1.12686  -0.07044 -0.155947  3.2397 -1.30468  
3.67566 0.0728354 -0.170691  2.64919 -1.01068  0.000541941 -0.194761  2.78701 -1.12091  -0.0692191 -0.15486  3.24328 -1.30255  
3.7385 0.0709572 -0.169289  2.66178 -1.01698  0.000407024 -0.192712  2.79389 -1.11534  -0.0680404 -0.153787  3.24693 -1.29989  
3.80133 0.069144 -0.167879  2.67384 -1.02346  0.000267441 -0.19069  2.80097 -1.11016  -0.0669013 -0.15273  3.2506 -1.29669  
3.86416 0.067396 -0.166463  2.6853 -1.0301  0.000125421 -0.188694  2.80818 -1.10542  -0.065799 -0.151689  3.25425 -1.29298  
3.92699 0.0657128 -0.165043  2.69614 -1.03686  -1.70088e-05 -0.186721  2.8155 -1.10113  -0.0647311 -0.150664  3.25785 -1.28878  
3.98982 0.0640943 -0.163621  2.70629 -1.0437  -0.000158024 -0.184772  2.82286 -1.09731  -0.0636953 -0.149657  3.26135 -1.2841  
4.05265 0.0625397 -0.162197  2.71574 -1.05058  -0.000295995 -0.182846  2.83024 -1.09397  -0.0626893 -0.148667  3.26473 -1.27895  
