0.0314159 0.000252313 -0.00195715  -59.2951 -502.554  
0.0942478 0.000252606 -0.00586364  -1.83496 -170.109  
0.15708 0.000243748 -0.00974819  2.93505 -102.323  
0.219911 0.000290456 -0.013603  3.92928 -73.2053  
0.282743 0.000174995 -0.0173954  4.92062 -57.1282  
0.345575 0.000272079 -0.0211444  4.88993 -46.856  
0.408407 0.00030811 -0.0248197  4.99814 -39.7767  
0.471239 0.000265952 -0.028406  5.16891 -34.6159  
0.534071 0.000215415 -0.0318987  5.28707 -30.6861  
0.596903 0.000196121 -0.0352946  5.34148 -27.5939  
0.659734 0.000209125 -0.0385894  5.35847 -25.099  
0.722566 0.000238223 -0.0417774  5.36232 -23.046  
0.785398 0.000266606 -0.0448534  5.36619 -21.3294  
0.84823 0.000283801 -0.0478134  5.37452 -19.8746  
0.911062 0.000286303 -0.0506551  5.3871 -18.6273  
0.973894 0.000275584 -0.0533776  5.40203 -17.5468  
1.03673 0.000255685 -0.0559817  5.41728 -16.6022  
1.09956 0.000231295 -0.0584693  5.43133 -15.7696  
1.16239 0.000206572 -0.060843  5.44331 -15.0302  
1.22522 0.000184573 -0.0631063  5.45285 -14.369  
1.28805 0.000167132 -0.0652628  5.46002 -13.7741  
1.35088 0.000154977 -0.0673164  5.46509 -13.2358  
1.41372 0.000147981 -0.069271  5.46844 -12.7462  
1.47655 0.000145432 -0.0711305  5.4705 -12.2987  
1.53938 0.000146283 -0.0728988  5.47165 -11.888  
1.60221 0.000149356 -0.0745795  5.47225 -11.5095  
1.66504 0.000153497 -0.0761764  5.47256 -11.1594  
1.72788 0.000157672 -0.0776928  5.4728 -10.8345  
1.79071 0.000161031 -0.0791322  5.47312 -10.532  
1.85354 0.000162932 -0.0804975  5.47361 -10.2496  
1.91637 0.000162938 -0.081792  5.47433 -9.98514  
1.9792 0.000160811 -0.0830184  5.47529 -9.73697  
2.04204 0.000156479 -0.0841796  5.4765 -9.5035  
2.10487 0.000150011 -0.0852783  5.47793 -9.28339  
2.1677 0.000141583 -0.086317  5.47954 -9.07545  
2.23053 0.000131451 -0.0872981  5.48129 -8.87863  
2.29336 0.000119923 -0.0882241  5.48314 -8.692  
2.35619 0.000107334 -0.0890971  5.48505 -8.51472  
2.41903 9.40282e-05 -0.0899193  5.48697 -8.34607  
2.48186 8.03418e-05 -0.0906929  5.48887 -8.18538  
2.54469 6.65923e-05 -0.0914198  5.49072 -8.03206  
2.60752 5.30693e-05 -0.092102  5.49248 -7.88556  
2.67035 4.00282e-05 -0.0927412  5.49413 -7.7454  
2.73319 2.7688e-05 -0.0933393  5.49566 -7.61114  
2.79602 1.62289e-05 -0.093898  5.49705 -7.48238  
2.85885 5.79306e-06 -0.0944189  5.4983 -7.35876  
2.92168 -3.51375e-06 -0.0949035  5.49939 -7.23995  
2.98451 -1.16202e-05 -0.0953534  5.50033 -7.12564  
3.04734 -1.84861e-05 -0.09577  5.50112 -7.01556  
3.11018 -2.40993e-05 -0.0961546  5.50175 -6.90945  
3.17301 -2.84722e-05 -0.0965087  5.50225 -6.80707  
3.23584 -3.16377e-05 -0.0968335  5.5026 -6.70821  
3.29867 -3.36463e-05 -0.0971302  5.50283 -6.61267  
3.3615 -3.45627e-05 -0.0973999  5.50294 -6.52026  
3.42434 -3.44623e-05 -0.0976439  5.50294 -6.43082  
3.48717 -3.34287e-05 -0.0978631  5.50284 -6.34419  
3.55 -3.15511e-05 -0.0980586  5.50265 -6.26021  
3.61283 -2.89218e-05 -0.0982313  5.50239 -6.17876  
3.67566 -2.56346e-05 -0.0983823  5.50206 -6.09971  
3.7385 -2.17828e-05 -0.0985125  5.50167 -6.02294  
3.80133 -1.74578e-05 -0.0986226  5.50123 -5.94834  
3.86416 -1.27482e-05 -0.0987135  5.50075 -5.8758  
3.92699 -7.73838e-06 -0.0987861  5.50024 -5.80524  
3.98982 -2.50829e-06 -0.098841  5.49971 -5.73656  
