0.0314159 9.1898e-05 -0.636934  4.49985 -0.258467  
0.0942478 6.54532e-06 -0.488984  4.49999 -0.634883  
0.15708 6.56665e-05 -0.419171  4.49973 -0.955256  
0.219911 3.13487e-06 -0.375997  4.50002 -1.22349  
0.282743 -4.55621e-05 -0.344303  4.50052 -1.46238  
0.345575 -5.7651e-05 -0.318724  4.50064 -1.68597  
0.408407 -5.67695e-05 -0.297999  4.50072 -1.89034  
0.471239 -4.50732e-05 -0.281048  4.50074 -2.07435  
0.534071 -2.57104e-05 -0.266865  4.50061 -2.24064  
0.596903 -5.60531e-06 -0.254698  4.50036 -2.39266  
0.659734 9.16824e-06 -0.244064  4.50008 -2.53304  
0.722566 1.5926e-05 -0.234662  4.49988 -2.66322  
0.785398 1.52e-05 -0.226302  4.4998 -2.7838  
0.84823 9.40171e-06 -0.21885  4.49984 -2.89491  
0.911062 1.48014e-06 -0.212201  4.49997 -2.99655  
0.973894 -5.98095e-06 -0.206262  4.50013 -3.08876  
1.03673 -1.11893e-05 -0.20095  4.50028 -3.17173  
1.09956 -1.32226e-05 -0.196189  4.50036 -3.24579  
1.16239 -1.19052e-05 -0.191908  4.50036 -3.31141  
1.22522 -7.60234e-06 -0.188045  4.50027 -3.36915  
1.28805 -1.00398e-06 -0.184545  4.50009 -3.4196  
1.35088 7.06037e-06 -0.181359  4.49985 -3.46337  
1.41372 1.57616e-05 -0.178447  4.49957 -3.50105  
1.47655 2.43638e-05 -0.175772  4.49927 -3.53321  
1.53938 3.22762e-05 -0.173305  4.49898 -3.56035  
1.60221 3.90743e-05 -0.171021  4.49871 -3.58294  
1.66504 4.44975e-05 -0.168897  4.49849 -3.6014  
1.72788 4.84335e-05 -0.166915  4.49831 -3.61611  
1.79071 5.08935e-05 -0.165059  4.49818 -3.62738  
1.85354 5.19851e-05 -0.163316  4.49811 -3.63553  
1.91637 5.1885e-05 -0.161675  4.49809 -3.64081  
1.9792 5.08135e-05 -0.160125  4.49811 -3.64346  
2.04204 4.90133e-05 -0.158658  4.49817 -3.6437  
2.10487 4.67312e-05 -0.157265  4.49825 -3.64172  
2.1677 4.42044e-05 -0.15594  4.49835 -3.63772  
2.23053 4.16503e-05 -0.154676  4.49846 -3.63184  
2.29336 3.92593e-05 -0.153469  4.49857 -3.62426  
2.35619 3.71911e-05 -0.152312  4.49866 -3.61512  
2.41903 3.55726e-05 -0.151202  4.49873 -3.60455  
2.48186 3.44982e-05 -0.150133  4.49879 -3.59268  
2.54469 3.40308e-05 -0.149104  4.49881 -3.57962  
2.60752 3.42043e-05 -0.148109  4.4988 -3.56551  
2.67035 3.5027e-05 -0.147145  4.49875 -3.55042  
2.73319 3.64843e-05 -0.146211  4.49867 -3.53448  
